tag,form,prefix,suffix
UKR,peoples_republic,,人民共和国
UKR,republic,,共和国
UKR,republic_classical_communism,,社会主義共和国
UKR,republic_progressive_communism,,社会主義共和国
UKR,state,,国
URA,republic,,共和国
URG,oriental_republic,,東方共和国
UZB,republic,,共和国
VAC,city_state,,市国
VCT,republic,,共和国
VEC,most_serene_republic,晴朗極まる,共和国
VEN,republic,,共和国
VEN,republic_classical_communism,,民主共和国
VEN,republic_progressive_communism,,民主共和国
VGE,GER_republic,,・ドイツ人共和国
VGE,republic,,共和国
VIC,republic,,共和国
VIN,democratic_republic,,民主共和国
VIN,empire,,帝国
VIN,republic,,共和国
VIN,republic_classical_communism,,社会主義共和国
VIN,republic_progressive_communism,,社会主義共和国
VLA,repulic,,共和国
VOJ,republic,,共和国
VOL,republic,,共和国
VUT,republic,,共和国
WAF,federation,,連邦
WAF,union,,連合
WES,republic,,共和国
WGR,federal_republic,,連邦共和国
WHR,kingdom,,王国
WHR,republic,,共和国
WLC,principality,,公国
WLC,republic,,共和国
WLC,republic_classical_communism,,社会主義共和国
WLC,republic_progressive_communism,,社会主義共和国
WLL,republic,,共和国
WLS,duchy,,公国
WLS,republic,,共和国
WLS,republic_classical_communism,,人民共和国
WLS,republic_progressive_communism,,人民共和国
WPO,commonwealth,,連邦
WTR,federation,,連邦
WUR,kingdom,,王国
YAK,repulic,,共和国
YAM,republic,,共和国
YEM,mutawakkilite_kingdom,,・ムタワッキリテ王国
YEM,republic,,共和国
YEM,republic_classical_communism,,人民共和国
YEM,republic_progressive_communism,,人民共和国
YUG,federal_republic,,連邦共和国
YUG,federal_republic_classical_communism,,社会主義連邦共和国
YUG,federal_republic_progressive_communism,,社会主義連邦共和国
YUG,kingdom,,王国
YUN,faction,,派
ZAM,republic,,共和国
ZAP,cossack_republic,,・コサック共和国
ZIM,national_liberation_front,,民族解放戦線
ZIM,republic,,共和国
ZZB,republic,,共和国
ZZB,republic_classical_communism,,民主共和国
ZZB,republic_progressive_communism,,民主共和国
ZZB,sultanate,,・スルタン国
